Included in rates,Distance from,Number of bathrooms,For your comfort and convenience,Not included in rates,Number of bedrooms,Address,Name,"Entertainment, well-being & sports",Dining,Sustainable development and environmental impact,Resort services and entertainment,Staff,Nearby,Description,Kitchen & Appliances,Max guests,Reservation conditions,Compulsory extra costs,"Equipment, facilities, events",Children,Max price,Outside,Min price
"
- Change of linen twice / week
- Cleaning two times per week
- Electricity, water, gas
- Internet WIFI
- Welcome hamper","
- Beach (5 Minutes by car)
- Supermarket (5 Minutes by car)
- Restaurants / Shops (5 Minutes by car)
- Heraklion (15 Minutes by car)",5,"
- Air conditioning
- Fireplace in living room
- Hair dryer
- Private parking space","
- Airport transfer
- Cancellation insurance
- Car rental
- Chef / Cook
- Child care, Baby sitting
- Daily house cleaning
- Excursions
- Grocery delivery
- Housekeeping : starting from 60.00 EUR Per Day
- Laundry service
- Pool heating
- Pre-stocking of the house
- Tourist guide",6,"Heraklion, Crete, Greece, Europe",Villa Rita,"
- DVD player
- Hammam
- Internet access (wifi)
- Outdoor private swimming pool
- Satellite or cable or Internet TV
- TV",,,,,"
- Direct sea access","Stunning villa located only 15 minutes drive from Heraklion, 6 bedrooms and 5 bathrooms, hammam, private swimming pool, spacious terrace with barbecue, wonderful sea views, private access to the sea","
- Combo fridge - freezer
- Cooking utensils
- Dish washer
- Dishes/Cutlery
- Dryer
- Fully equipped kitchen
- Iron
- Juicer
- Kettle
- Microwave
- Nespresso coffee machine
- Oven
- Washing machine",11,,,"
- Heating","
- Baby cot
- Highchair",770,"
- Balcony
- Barbecue
- Lounge area on the terrace
- Outdoor dining table
- Pool lounge chairs
- Terrace(s)",1350
"
- Beds made on arrival
- Housecleaning upon departure
- Household linen and bath linen
- Housekeeping and household linens
- Meet and greet at local office","
- Downtown (650 M)
- Ski school (650 M)",1,"
- Dining area
- Private parking space
- Ski locker
- TV lounge","
- Cancellation insurance
- Concierge service : Pass Plus : starting from 300.00 EUR
- Concierge service : Serenity Pass : starting from 600.00 EUR
- Concierge service : Snow Pass : starting from 90.00 EUR",3,"Val Thorens, Northern Alps, France, Europe",Appartement Silveralp 464,"
- Internet access (wifi)
- TV","
- This house is self catering",,,,"
- Slopes less than 100 m away","Beautiful, fully renovated duplex apartment, ideally located close to the slopes and sports centre with 3 bedrooms, ski locker and views of the Peclet glacier.","
- Dish washer
- Fully equipped kitchen
- Juicer
- Microwave
- Oven
- Refrigerator
- Washing machine",6,,,,"
- Baby cot
- Highchair",302,"
- Balcony",
"
- Bed and household linens
- Change of linen twice / week
- Electricity, water, gas
- Internet WIFI
- Maid service 6 times a week","
- Airport (45 Minutes by car)
- Beach (1 Minutes Walk)
- Downtown (2 Minutes by car)
- Tennis (5 KM)
- Port (45 Minutes by car)",7,"
- Air conditioning
- Central heating
- Coffee table
- Dining room
- Living room
- Outdoor hot tub
- Private parking space
- Sofa(s)
- Study room or den
- Terraces
- TV lounge
- Walk-in closet","
- Cancellation insurance
- Car rental
- Chef/Cook
- Villa pre-stocking
- Yacht charters",7,"Corfu, Ionian Sea, Greece, Europe",Villa Fernando,"
- DVD player
- Heated pool
- Internet access (wifi)
- Music speaker
- Outdoor private swimming pool
- Satellite or cable or Internet TV
- TV",,,,,"
- Direct access to the beach","Luxury villa located in Agios Stefanos in Corfu, with 7 bedrooms and 7 bathrooms, a garden, parking, a swimming pool, an outdoor jacuzzi, a barbecue and breathtaking panoramic view","
- Fully equipped kitchen
- Nespresso coffee machine",10 (14 max.),,,"
- Heating
- Mooring for yachts","
- Children welcome",3571,"
- Barbecue
- Garden
- Lounge area on the terrace
- Lounge chairs on the terrace
- Outdoor dining areas
- Outdoor dining table
- Outside shower
- Parking
- Pool lounge chairs
- Terrace(s)",3571
"
- Bed and household linens
- Bed linen and towels change
- Breakfast
- Concierge service
- Cot + High Chair
- Daily house cleaning
- Electricity, water, gas
- Housekeeper
- Pool towels
- Selection of bath products","
- Airport (20 Minutes by car)
- Beach (15 Minutes by car)
- Downtown (15 Minutes by car)
- Supermarket (5 Minutes by car)
- Restaurants / Shops (15 Minutes by car)",4,"
- Air conditioning
- Fireplace in living room
- Hair dryers","
- Airport transfer
- Cancellation insurance
- Child care, Baby sitting
- Meals",4,"Outside Essaouira, Essaouira, Morocco, Africa",Villa Primera,"
- Heated outdoor swimming pool
- Internet access (wifi)
- Outdoor private swimming pool
- Petanque area
- Ping-Pong table
- TV",,,,"
- Cook",,"Charming villa near Essaouira, 4 ensuite bedrooms, remarkable landscaped garden, private swimming pool","
- Fully equipped kitchen",10,,"
- Tourism development tax : 3.46 EUR Per Guest/night",,"
- Shallow pool / Children pool",756,"
- Barbecue
- Garden
- Lounge area on the terrace
- Outdoor dining table
- Pool lounge chairs
- Terrace(s)",756
"
- Beds made on arrival
- Housecleaning upon departure
- Household linen and bath linen
- Housekeeping and household linens
- Meet and greet at the house
- Toiletries","
- Downtown (300 M)
- Ski school (100 M)",5,"
- Dining room
- Fireplace
- Indoor hot tub
- Private parking space
- Terrace
- TV lounge","
- Cancellation insurance
- Concierge service : Pass Plus : starting from 300.00 EUR
- Concierge service : Serenity Pass : starting from 600.00 EUR
- Concierge service : Snow Pass : starting from 90.00 EUR",5,"Alpe d'Huez, Northern Alps, France, Europe",Chalet Ecureuil,"
- Internet access (wifi)
- Sauna
- Shoe warmer
- TV","
- This house is self catering",,,,"
- Ski in
- Ski in - Ski out
- Ski in - Ski out
- Ski out
- Slopes less than 100 m away","Beautiful, fully renovated 5-bedroom chalet in the popular resort of Alpe d'Huez. Ski in, ski out thanks to a privileged location on the Bergers piste. Balcony, exceptional view of the Alpe d'Huez ski area, SPA area with sauna and jacuzzi.","
- Coffee maker
- Cooker hood
- Dish washer
- Dryer
- Induction stove
- Kettle
- Microwave
- Open-style kitchen
- Oven
- Refrigerator
- Washing machine",12,,,,,822,,
"
- Bed and household linens
- Concierge service
- House cleaning upon departure
- Housekeeping
- Pool and/or beach towels
- Pool heating
- Selection of bath products
- Sheets and towels changed once a week","
- Airport (20 KM)
- Beach (7 KM)
- Downtown (1 KM)
- Supermarket (0.8 KM)
- Restaurants / Shops (0.5 KM)",6,"
- Air conditioning
- Conference room
- Dining room with dining table
- Hair dryers
- Living room
- TV lounge","
- Bikes available
- Breakfast
- Butler : starting from 250.00 EUR
- Car with driver
- Chef / Cook
- Child care, Baby sitting
- Extra bed
- Extra change of bed linen : starting from 50.00 EUR Per Bed
- Extra hours of housekeeping : starting from 30.00 EUR Per Hour
- Golf cart
- Grocery delivery
- Hairdresser
- Massage
- Meals
- Transfer",6,"Mougins, French Riviera, France, Europe",Villa Melania,"
- Cards and board games
- Cinema room
- DVD player
- Flatscreen TV
- Gym - Fitness room
- Hammam
- Hi-fi sound system
- Internet access (wifi)
- Massage table
- Outdoor private swimming pool
- Projector
- Satellite or cable or Internet TV
- Sauna
- Swimming pool with salt water",,,,,,"Beautiful villa, in the heart of the Côte d'Azur in the heights of Mougins, 6 bedrooms, swimming pool, outdoor lounge area, summer kitchen, terraces, cinema room, gym room, sauna, hammam.","
- Fully equipped kitchen",12,,,"
- Golf clubs
- Safe deposit boxes
- Security system
- Smoke detector","
- Baby cot
- Board games for kids
- Books for kids
- Child care and baby sitting on request
- Children welcome
- Inflatables for pool
- Pool safety system
- Shallow pool / Children pool
- Stair guard",9243,"
- Barbecue
- Garden
- Lounge area on the terrace
- Outdoor dining areas
- Outdoor dining table
- Pool house
- Pool lounge chairs
- Summer kitchen
- Terrace(s)
- Vegetable garden",11764
"
- Baby cot
- Bed and household linens
- Bikes available
- Concierge service
- Electricity, water, gas
- Garden maintenance
- High chair
- Internet WIFI
- Pool and/or beach towels
- Pool maintenance
- Selection of bath products
- Tourism development tax","
- Airport (29.8 KM)
- Beach (30.7 M)",2,"
- Air conditioning in the living room
- Dining &amp; living room is the same area
- Fireplace in living room
- Private parking space
- Reverse cycle air conditioner
- TV lounge
- Veranda
- Woodstove","
- Airport transfer
- Cancellation insurance
- Car with driver
- Chef / Cook
- Child care, Baby sitting
- Daily house cleaning
- Extra hours of housekeeping
- Grocery delivery
- Intermediate cleaning in the middle of the stay
- Villa pre-stocking",3,"Center of Mallorca, Mallorca, Spain, Europe",Villa Xénya,"
- Cards and board games
- Internet access (wifi)
- Outdoor swimming pool
- Ping-Pong table
- Pool with swim system
- Salt filtration pool
- Satellite or cable or Internet TV
- Shared tennis court
- TV",,"
- Electric car charging station",,,,"Pretty 3-bedroom house, located in the centre of the beautiful island of Mallorca. Environmentally-friendly house, pleasant location, lovely views, garden, terraces and swimming pool with counter-current system.","
- Blender, mixeur
- Coffee machine (beans)
- Coffee machine (pod)
- Double refrigerator
- Fully equipped kitchen
- Indoor Plancha
- Induction stove
- Steam oven",4 (6 max.),,"
- House cleaning upon departure","
- Bikes
- Extinguisher
- Safe deposit box
- Security system
- Underfloor air conditioning","
- Children welcome
- Children’s area
- Extra bed for child available on request",512,"
- Coal barbecue
- Garden
- Great private park and garden
- Lounge chairs on the terrace
- Outdoor dining areas
- Parking
- Pool house
- Pool lounge chairs
- Summer kitchen
- Terrace(s)
- Vegetable garden
- Wheelchair friendly villa",375
"
- Beds made on arrival
- Housecleaning upon departure
- Household linen and bath linen
- Housekeeping and household linens
- Meet and greet at the house
- Toiletries","
- Downtown (7.9 KM)
- Ski school (1.8 KM)",5,"
- Dining room
- Fireplace
- Living room
- Netflix
- Private parking space
- Temp. controlled wine storage","
- Cancellation insurance
- Concierge service : Pass Plus : starting from 300.00 EUR
- Concierge service : Serenity Pass : starting from 600.00 EUR
- Concierge service : Snow Pass : starting from 90.00 EUR",5,"Saint-Gervais-les-Bains, Northern Alps, France, Europe",Chalet Aigle Mont Blanc,"
- Apple TV
- Blu-Ray DVD player
- Books
- BOSE sound system
- Cards and board games
- Cinema room
- DVD library
- Garden lounge furniture
- Hi-fi sound system
- Home Theatre speaker
- Internet access (wifi)
- Music speaker
- Outdoor swimming pool
- Satellite or cable or Internet TV
- Sauna
- SONOS sound system
- Sound system
- TV","
- This house is self catering",,,,,"5 bedroom chalet located on the heights of St Gervais. Spectacular views of Mont Blanc, sauna, terrace and outdoor summer pool.","
- Combined microwave and regular ovens
- Cooker hood
- Dish washer
- Dryer
- Fondue set
- Freezer
- Fully equipped kitchen
- Induction stove
- Iron
- Ironing board
- Juicer
- Kettle
- Nespresso coffee machine
- Open-style kitchen
- Oven
- Raclette
- Refrigerator
- Toaster
- Vacuum cleaner
- Washing machine",12,,,,"
- Board games for kids",759,"
- Balcony
- Plancha",
"
- Bed and household linens
- Beds made on arrival
- Concierge service
- Electricity, water, gas","
- Closest train station (16.2 KM)
- Downtown (0.4 KM)
- Closest bus station (0.45 KM)
- Pharmacy (0.4 KM)
- Ski school (0.6 KM)
- Ski slope (0.05 KM)
- Stores and shops (0.25 KM)
- Police (2.7 KM)
- Lake (2.3 KM)
- Doctor (0.4 KM)",3,"
- Bathtub
- Dining area
- Fireplace
- Hair dryer
- Living room
- Sofa(s)
- Study room or den
- Towel radiator","
- Cancellation insurance
- Cot + High Chair
- Extra hours of housekeeping
- Grocery delivery
- High chair
- One way airport transfer",4,"Courchevel 1650, Courchevel, Northern Alps, France, Europe",Appartement Le Daz,"
- Cards and board games
- Flatscreen TV
- Garden lounge furniture
- Music speaker
- TV","
- This house is self catering",,,,"
- Close to ski schools
- Ski in - Ski out
- Ski in - Ski out
- Ski slope at walking distance
- Slopes less than 100 m away","Within the emblematic Domaine de L'Ariondaz in the Fritillaire residence, this brand new 4 bedroom penthouse features beautiful valley views","
- Cooker hood
- Cooking utensils
- Dish washer
- Induction stove
- Ironing board
- Juicer
- Microwave
- Nespresso coffee machine
- Raclette
- Refrigerator
- Toaster
- Vacuum cleaner
- Washing machine",8,,,"
- Safe deposit box
- Smoke detector","
- Board games for kids
- Children welcome",750,"
- Outdoor dining areas",600
"
- Afternoon tea with mulled wine
- Airport transfer both ways
- Appetizers before dinner on 5 nights of your stay
- Bed and household linens
- Beverages
- Breakfast
- Car with driver
- Concierge service
- Daily house cleaning
- Dinner 5 nights a week
- Domestic staff
- Electricity, water, gas
- Internet WIFI
- Sauna",,5,"
- Air conditioning
- Dining room
- Heating in bedrooms
- Living room
- Ski boot dryer
- Terraces
- TV lounge","
- 6 day ski passes - 3 Vallées
- Assistance with ski hire
- Cost of ski equipment hire
- Extra person",5,"Courchevel 1850, Courchevel, Northern Alps, France, Europe",Chalet Katie,"
- Billiard and games room
- DVD player
- Flatscreen TV
- Heated indoor swimming pool
- Hi-fi sound system
- Music speaker
- Satellite or cable or Internet TV
- Sauna
- Ski room","
- Catered property",,,"
- Chef
- Fully staffed chalet
- Maid","
- Ski slope at walking distance
- Slopes less than 100 m away","Luxury fully staffed chalet in Courchevel 1850 (Nogentil), direct access to ski slopes, panoramic view, sauna, swimming pool","
- Fully equipped kitchen
- State of the art kitchen equipment",10 (12 max.),,,"
- Safe deposit box","
- Children welcome",7142,"
- Lounge area on the terrace
- Outdoor dining table
- Parking
- Terrace(s)",
"
- Beds made on arrival
- Housecleaning upon departure
- Household linen and bath linen
- Housekeeping and household linens","
- Ski school (150 M)",2,"
- Dining room
- Ski locker
- TV lounge","
- Cancellation insurance
- Concierge service : Pass Plus : starting from 300.00 EUR
- Concierge service : Serenity Pass : starting from 600.00 EUR
- Concierge service : Snow Pass : starting from 90.00 EUR",4,"Val d'Isere Centre Village, Val d'Isère, Northern Alps, France, Europe",Appartement Jupiter,"
- Internet access (wifi)
- TV","
- This house is self catering",,,,"
- Close to ski schools
- Slopes less than 300 m away","Beautiful and cosy apartment in the heart of Val d'Isere Centre Village, close to the slopes and all amenities, with 4 bedrooms and ski locker.","
- Combined microwave and regular ovens
- Combo washer-dryer
- Cooker hood
- Kettle
- Nespresso coffee machine
- Open-style kitchen",6,,,,,643,,
"
- Beds made on arrival
- Housecleaning upon departure
- Household linen and bath linen
- Housekeeping and household linens
- Meet and greet at local office
- Toiletries",,2,"
- Dining room
- TV lounge","
- Cancellation insurance
- Concierge service : Pass Plus : starting from 300.00 EUR
- Concierge service : Serenity Pass : starting from 600.00 EUR
- Concierge service : Snow Pass : starting from 90.00 EUR",3,"Courchevel 1550, Courchevel, Northern Alps, France, Europe",Appartement ISARD A11,,"
- This house is self catering",,,,"
- Slopes less than 100 m away","Beautiful duplex apartment at the foot of the slopes, next to the shops with 2 bedrooms and a mezzanine. Superb views of the ski area and the peaks. The terrace faces the Tovets piste.","
- Fully equipped kitchen
- Open-style kitchen",6,,,,,,"
- Balcony",
"
- Beds made on arrival
- Champagne
- Housecleaning upon departure
- Household linen and bath linen
- Housekeeping and household linens
- Intermediate cleaning in the middle of the stay
- Meet and greet at local office
- Slippers
- Toiletries
- Welcome hamper
- Wood for the fireplace","
- Downtown (100 M)
- Ski school (200 M)
- Ski slope : Provères (100 M)
- Skilift : Grangettes (100 M)",2,"
- Dining room
- Fireplace
- Living room
- Private parking space
- Ski locker","
- Cancellation insurance
- Concierge service : Pass Plus : starting from 300.00 EUR
- Concierge service : Serenity Pass : starting from 600.00 EUR
- Concierge service : Snow Pass : starting from 90.00 EUR",4,"Courchevel 1550, Courchevel, Northern Alps, France, Europe",Appartement Alpamayor Illi,"
- Internet access (wifi)
- Sauna
- Shoe warmer
- TV","
- This house is self catering",,,,"
- Slopes less than 100 m away","Charming apartment in the heart of Courchevel 1550 Village, with 4 bedrooms, sauna, ski locker, boot warmer and parking space.","
- Coffee maker
- Combo washer-dryer
- Cooker hood
- Dish washer
- Fully equipped kitchen
- Induction stove
- Juicer
- Kettle
- Nespresso coffee machine
- Open-style kitchen
- Oven
- Raclette
- Refrigerator
- Toaster",8,,,"
- Safe deposit box",,824,"
- Balcony",
"
- Bed and household linens
- Complimentary first breakfast
- Concierge service
- Electricity, water, gas
- Garden maintenance
- House cleaning upon departure
- Internet WIFI
- Pool heating
- Pool maintenance
- Selection of bath products
- Welcome hamper","
- Airport (130 KM)
- Beach (100 M)",7,"
- Air conditioning in the living room
- Dining &amp; living room is the same area
- Private parking space
- Reading room
- Relaxation area
- Reverse cycle air conditioner
- TV lounge","
- Airport transfer
- Bikes available
- Breakfast
- Cancellation insurance
- Chef / Cook
- Daily house cleaning
- Extra hours of housekeeping
- Full board
- Grocery delivery
- Half board
- Intermediate cleaning in the middle of the stay
- Tourism development tax - Mandatory : starting from 1.70 EUR Per Guest/night",7,"Arcachon Bay, Southwest, France, Europe",Villa Maéliana,"
- Bar
- Books
- Cards and board games
- Heated pool
- Internet access (wifi)
- Music speaker
- Outdoor bar
- Outdoor swimming pool
- Petanque area (game of boules)
- Plunge pool
- Salt filtration pool
- Table football
- TV",,"
- Electric car charging station",,,"
- Direct access to the beach
- Direct sea access
- Walkway to water","Superb 7-bedroom property on the seafront in the heart of the lively seaside resort of Contis in the Landes. Direct access to the beach, terraces, garden, petanque strip and small heated swimming pool.","
- Blender, mixeur
- Coffee machine (beans)
- Double refrigerator
- Fully equipped kitchen
- Ice maker
- Induction stove
- Steam oven",14,,,"
- Extinguisher
- Safe deposit box
- Security system
- Smoke detector
- Wine cellar","
- Children welcome
- Enclosed swimming pool
- House not suitable for children
- Pool safety system
- Stair guard",,"
- Botanical garden
- Garden
- Lounge area on the terrace
- Lounge chairs on the terrace
- Parking
- Plancha
- Pool lounge chairs
- Terrace(s)
- Wheelchair friendly villa",
"
- Beds made on arrival
- Champagne
- Housecleaning upon departure
- Household linen and bath linen
- Housekeeping and household linens
- Meet and greet at local office
- Toiletries
- Welcome hamper",,2,"
- Dining area
- Private parking space
- Ski locker
- TV lounge","
- Cancellation insurance
- Concierge service : Pass Plus : starting from 300.00 EUR
- Concierge service : Serenity Pass : starting from 600.00 EUR
- Concierge service : Snow Pass : starting from 90.00 EUR",3,"Méribel Rond Point des pistes, Méribel, Northern Alps, France, Europe",Appartement Yana 102,"
- Internet access (wifi)
- SONOS sound system
- TV","
- This house is self catering",,,,,"New apartment on the first floor, located in the Belvédère district in Méribel Rond Point des pistes facing the snowy peaks, with 3 bedrooms, ski locker and parking space.","
- Blender, mixeur
- Coffee maker
- Cooker hood
- Dish washer
- Dryer
- Fondue set
- Freezer
- Fully equipped kitchen
- Induction stove
- Kettle
- Microwave
- Open-style kitchen
- Oven
- Pierrade
- Raclette
- Refrigerator
- Toaster
- Vacuum cleaner
- Washing machine",6,,,"
- Elevator","
- Baby cot
- Highchair",702,"
- Balcony",
"
- Bed and household linens
- Electricity, water, gas
- Garden/Pool maintenance
- House cleaning upon departure
- Housekeeping
- Internet WIFI
- Pool and/or beach towels
- Selection of bath products","
- Airport (22 KM)
- Beach (2 M)
- Downtown (9 KM)",7,"
- Dining &amp; living room is the same area
- Fireplace in living room
- Hair dryers
- Private parking space
- Reverse cycle air conditioner
- TV lounge","
- Cancellation insurance
- Chef / Cook
- Concierge service
- Daily house cleaning",6,"Ibiza South, Ibiza, Spain, Europe",Villa Velina,"
- Bar
- Books
- BOSE sound system
- Cards and board games
- Infinity pool
- Internet access (wifi)
- Library
- Music speaker
- Outdoor swimming pool
- Pool with chlorine filtration
- Satellite or cable or Internet TV
- TV",,,,,,"Lovely 6 bedroom villa, located in Sant Josep De Sa Talaia, south of Ibiza. Sea views, garden, terraces and pool.","
- Blender, mixeur
- Coffee machine (beans)
- Coffee machine (pod)
- Dish washer
- Double refrigerator
- Fully equipped kitchen
- Iron
- Kettle
- Microwave
- Washing machine",12,,,"
- Safe deposit boxes
- Security system
- Smoke detector","
- Children welcome",3500,"
- Garden
- Great private park and garden
- Lounge area on the terrace
- Lounge chairs on the terrace
- Natural Gas barbecue
- Outdoor dining areas
- Parking
- Pool lounge chairs
- Summer kitchen
- Terrace(s)",
"
- Beds made on arrival
- Champagne
- Housecleaning upon departure
- Household linen and bath linen
- Housekeeping and household linens
- Meet and greet at the house
- Slippers
- Toiletries
- Welcome hamper
- Wood for the fireplace","
- Downtown (2.5 KM)
- Ski school (2.8 KM)
- Ski slope : Itinéraire du Raffort (50 M)
- Skilift : Télécabine de l'Olympe (200 M)",4,"
- Fireplace
- Indoor hot tub
- Relaxation area
- Ski locker
- TV lounge","
- Cancellation insurance
- Concierge service : Pass Plus : starting from 300.00 EUR
- Concierge service : Serenity Pass : starting from 600.00 EUR
- Concierge service : Snow Pass : starting from 90.00 EUR",5,"Méribel Le Raffort, Méribel, Northern Alps, France, Europe",Chalet Orca,"
- Blu-Ray DVD player
- Internet access (wifi)
- Sauna
- Shoe warmer
- Table football
- TV","
- This house is self catering",,,,"
- Slopes less than 100 m away","Marvellous chalet located in Raffort in Méribel Le Raffort, 5 bedrooms with bathrooms, Jacuzzi and sauna, south facing terrace, only 50 meters from ski slopes","
- Coffee maker
- Combined microwave and regular ovens
- Cooker hood
- Dish washer
- Dryer
- Freezer
- Iron
- Ironing board
- Kettle
- Microwave
- Nespresso coffee machine
- Oven
- Raclette
- Refrigerator
- Stove/Cooker
- Toaster
- Vacuum cleaner
- Washing machine",10,,,,,922,,
"
- Bed and household linens
- Electricity, water, gas
- House cleaning (3 times a week)
- Internet WIFI
- Ironing
- Laundry service
- Towels",,3,"
- Air conditioning in bedrooms only
- Air fan (all bedrooms)
- Coffee table
- Dining room with dining table
- Living room
- Outdoor hot tub
- Sofa(s)
- Study room or den
- Terraces
- TV lounge
- Walk-in closet","
- Cancellation insurance
- Car rental
- Child care, Baby sitting
- Extra Cooking
- Extra hours of housekeeping
- Massage
- Preparation of one meal per day (lunch or dinner) : starting from 12.50 EUR Per Meal",3,"Black River, Mauritius West, Mauritius, Africa",Villa Paola,"
- Cards and board games
- Gym - Fitness room
- Internet access (wifi)
- Outdoor private swimming pool
- Power generator
- Satellite or cable or Internet TV
- TV",,,,"
- Cook",,"Beautiful ecologic villa at the entrance to the National Park of the Black River Gorges, with 3 bedrooms and 3 bathrooms, garden, swimming pool, barbecue and quiet area surrounded by lush vegetation","
- Coffee maker
- Combo washer-dryer
- Dish washer
- Freezer
- Fully equipped kitchen
- Indoor Plancha
- Iron
- Kettle
- Microwave
- Open-style kitchen
- Oven
- Refrigerator
- Toaster
- Washing machine",6,,,"
- Safe deposit box
- Security system","
- Baby cot
- Children welcome
- Highchair",578,"
- Balinese style outdoor bed
- Barbecue
- Garden
- Lounge area on the terrace
- Lounge chairs on the terrace
- Outdoor dining areas
- Outdoor dining table
- Outside shower
- Pool lounge chairs
- Terrace(s)",273
"
- Bed linen and towels change
- Beds made on arrival
- Daily house cleaning
- Housecleaning upon departure
- Household linen and bath linen
- Housekeeping and household linens
- Meet and greet at the house
- Slippers
- Toiletries
- Wood for the fireplace","
- Ski school (800 M)
- Ski slope : Biolley (800 M)",5,"
- Dining room
- Fireplace
- Living room
- Netflix
- Private parking space
- Relaxation area
- Ski locker
- Temp. controlled wine storage
- Terrace
- TV lounge","
- Cancellation insurance
- Concierge service : Pass Plus : starting from 300.00 EUR
- Concierge service : Serenity Pass : starting from 600.00 EUR
- Concierge service : Snow Pass : starting from 90.00 EUR",5,"Saint-Martin-de-Belleville, Northern Alps, France, Europe",Chalet Pure Diamond,"
- BOSE sound system
- Cards and board games
- Computer
- Garden lounge furniture
- Home Theatre speaker
- Indoor swimming pool
- Internet access (wifi)
- Massage room
- Music speaker
- Nordic bath
- Playroom-Gameroom
- Playstation
- Printer
- Satellite or cable or Internet TV
- Sauna
- Shoe warmer
- TV","
- Catered property",,,"
- Butler
- Chauffeur service
- Chef
- Maid",,"Magnificent chalet 5 bedrooms located in St-Martin de Belleville, private swimming pool, sauna, massage room, ski room, games room, balcony and terrace, garage, only 800 meters from ski slopes","
- Blender, mixeur
- Coffee maker
- Combined microwave and regular ovens
- Combo washer-dryer
- Cooker hood
- Dish washer
- Dryer
- Freezer
- Fully equipped kitchen
- Induction stove
- Iron
- Ironing board
- Juicer
- Kettle
- Microwave
- Nespresso coffee machine
- Open-style kitchen
- Oven
- Pierrade
- Raclette
- Refrigerator
- Stove/Cooker
- Toaster
- Vacuum cleaner
- Washing machine",12,,,"
- Elevator
- Safe deposit box","
- Baby cot
- Highchair",3000,"
- Balcony",
"
- Bed and household linens
- Electricity, water, gas
- House cleaning upon departure
- Tourism development tax","
- Downtown (10 Minutes by car)
- Ski resort (7 Minutes by car)",2,"
- Coffee table
- Dining room
- Fireplace in living room
- Living room
- Lounge chair(s)
- Ski boot dryer
- Terrace or balcony","
- 4 course dinner including wine : starting from 89.00 EUR Per Person
- Activities booking (sled dogs, paragliding, hot air ballooning, helicopter tours etc...)
- Baby sitting - Day service : starting from 27.00 EUR Per Hour
- Baby sitting - Night service : starting from 32.00 EUR Per Hour
- Breakfast 6 people minimum : starting from 32.00 EUR Per Person
- Cancellation insurance
- Cost of ski equipment hire
- Cost of ski passes
- Delivery of meals : starting from 32.00 EUR Per Person
- Extra hours of housekeeping : starting from 32.00 EUR Per Hour
- Massage Therapist in your apartment, 2h minimum : starting from 177.00 EUR Per Hour
- Private ski instruction or ski school",3,"Zermatt, Swiss Alps, Switzerland, Europe",Chalet Grousse Mountain,"
- DVD player
- Flatscreen TV
- Internet access (wifi)
- iPod dock
- Radio
- Ski room",,,,,,"Comfortable modern loft apartment, 3 bedrooms, quiet neighborhood, close from Zermatt's center, balconies, amazing Matterhorn views","
- Coffee maker
- Dish washer
- Dryer
- Fully equipped kitchen
- Microwave
- Oven
- Washing machine",6 (7 max.),,,,"
- Child care and baby sitting on request
- Children welcome",823,,667
"
- Bed and household linens
- Change of towels twice weekly
- Concierge service
- Daily housekeeping (except Sundays and holidays)
- Electricity, water, gas
- Garden maintenance
- Housecleaning upon departure
- Internet WIFI
- Pool maintenance
- Toiletries
- Weekly change of linens &amp; towels (2 weeks stay min.)
- Welcome hamper","
- Montepulciano (64 KM / 60 Minutes by car)
- Rome (211 KM / 150 Minutes by car)
- Cortona (48 KM / 45 Minutes by car)
- Gubbio (35 KM / 35 Minutes by car)",8,"
- Air conditioning
- Central heating
- Dining room
- Hair dryer
- Living room
- Lounge chair(s)
- Outdoor hot tub
- Terraces","
- Bike rental
- Breakfast service : starting from 50.00 EUR Per Day
- Butler : starting from 120.00 EUR Per Meal
- Cancellation insurance
- Central heating
- Cot + High Chair
- Delivery of meals : starting from 20.00 EUR Per Delivery
- Exclusive service of a chef to cook 1 dinner or 1 lunch at the villa (8 people) : starting from 200.00 EUR Per Meal
- Extra change of bath towels : starting from 8.00 EUR Per Person
- Extra change of bed linen : starting from 5.00 EUR Per Room
- Extra change of pool towels : starting from 3.00 EUR Per Person
- Extra hours of housekeeping : starting from 25.00 EUR Per Hour
- Extra house cleaning time
- In-house massage service
- Ironing : starting from 25.00 EUR Per Hour
- Late check-in
- Pool heating : starting from 80.00 EUR Per Day
- Pre-stocking of the house
- Service of a chef to cook dinner and lunch (8 people) : starting from 350.00 EUR Per Day
- Shopping service with a car : starting from 50.00 EUR Per Hour
- Table tennis table rental : starting from 100.00 EUR Per Week
- Tourism development tax
- Wood for the fireplace : starting from 15.00 EUR",9,"Umbertide, Umbria, Italy, Europe",Villa Subtilia,"
- DVD player
- Flatscreen TV
- Infinity pool
- Internet access (wifi)
- iPod dock
- Outdoor private swimming pool
- Satellite or cable or Internet TV",,,,,"
- Villa on a golf course","Beautiful 16th century farmhouse in Umbria, 8 bedrooms and 6 bathrooms, exceptional comfort, wonderful views, heated swimming pool, jacuzzi.","
- Dish washer
- Fully equipped kitchen
- Iron
- Ironing board
- Microwave
- Oven
- Refrigerator
- Washing machine",18,,,,"
- Children welcome",2828,"
- Barbecue
- Garden
- Lounge area on the terrace
- Outdoor dining areas
- Outdoor dining table
- Parking
- Pool lounge chairs
- Terrace(s)",
